name,number,method,rank,title,doi,year
ibbi,2,rrf_pure_llama,4,Investigating Kinect-based fighting game AIs that encourage their players to use various skills,,2015
ibbi,2,rrf_pure_llama,5,HIIT With Hits: Using Music and Gameplay to Induce HIIT in Exergames,,2019
ibbi,2,rrf_pure_llama,6,Utilizing Multiple Agents for Decision Making in a Fighting Game,,2018
ibbi,2,rrf_pure_llama,7,Fighting game artificial intelligence competition platform,,2013
ibbi,2,rrf_pure_llama,8,Influencing the Behavioral Responses of Players in an Interactive Narrative Game through Music and Arousal Congruency,,2019
ibbi,2,rrf_pure_llama,9,Fighting Gulliver: An Experiment with Cross-Platform Players Fighting a Body-Controlled Giant,,2015
ibbi,2,rrf_pure_llama,10,Data Analysis for Ghost AI Creation in Commercial Fighting Games.,,2007
ibbi,2,rrf_pure_llama,11,Uses of the Computer in Music Composition and Research,,1972
ibbi,2,rrf_pure_llama,12,E-learning Rhythm Design: Case Study Using Fighting Games.,,2018
ibbi,2,rrf_pure_llama,13,Monte-Carlo Tree Search Implementation of Fighting Game AIs Having Personas,,2018
ibbi,2,rrf_pure_llama,14,Influence of head-up displays' characteristics on user experience in video games,,2016
ibbi,2,rrf_pure_llama,15,"AI researchers, Video Games are your friends!",,2015
