doi,title
10.1016/j.ins.2018.09.069,Multi-layer interaction preference based multi-objective evolutionary algorithm through decomposition
10.1016/j.csda.2019.106866,Model-based co-clustering for mixed type data
10.1109/TCYB.2018.2868994,Products of Generalized Stochastic Matrices With Applications to Consensus Analysis in Networks of Multiagents With Delays
10.1016/j.ins.2018.10.007,Solving large-scale many-objective optimization problems by covariance matrix adaptation evolution strategy with scalable small subpopulations
10.1016/j.ins.2019.08.040,Binary differential evolution with self-learning for multi-objective feature selection
10.1109/TCYB.2018.2868870,Multipoint Rendezvous in Multirobot Systems
10.1109/TCYB.2018.2863689,Resilient Control of Wireless Networked Control System Under Denial-of-Service Attacks: A Cross-Layer Design Approach
10.1016/j.ins.2018.10.051,A general model of decision-theoretic three-way approximations of fuzzy sets based on a heuristic algorithm
10.1109/TIE.2018.2879296,Tomographic Approach for Universal Tactile Imaging With Electromechanically Coupled Conductors
10.1016/j.fss.2018.11.002,Variable-domain fuzzy sets—Part I: Representation
10.1016/j.ins.2018.11.032,Objective extraction via fuzzy clustering in evolutionary many-objective optimization
10.1016/j.ins.2018.11.047,Shadowed numbers and their standard and multidimensional arithmetic
10.1007/s11704-018-7054-8,A verification framework for spatio-temporal consistency language with CCSL as a specification language
10.1016/j.ijinfomgt.2018.11.013,Data mining of customer choice behavior in internet of things within relationship network
10.1016/j.ins.2018.11.018,Interval data driven construction of shadowed sets with application to linguistic word modelling
10.1016/j.jlamp.2018.11.006,Combining free choice and time in Petri nets
10.1007/s11704-018-7249-z,Popular route planning with travel cost estimation from trajectories
10.1016/j.ijinfomgt.2018.11.009,Improving high-tech enterprise innovation in big data environment: A combinative view of internal and external governance
10.1016/j.jlamp.2018.11.007,Model checking for hybrid branching-time logics
10.1016/j.matcom.2018.11.005,PFF-RVM: A new no reference image quality measure
10.1007/978-3-030-04771-9_26,Multi-agent systems with virtual stigmergy
10.1109/TCYB.2018.2868968,Optimal Decentralized Output-Feedback LQG Control With Random Communication Delay
10.1016/j.ijinfomgt.2018.12.001,Financial crisis prediction model using ant colony optimization
10.1016/j.ins.2018.12.009,Relational granulation method based on Quotient Space Theory for maximum flow problem
10.1016/j.ins.2018.12.017,Risk appetite dual hesitant fuzzy three-way decisions with TODIM
10.1109/TCYB.2018.2868781,Distributed Secure State Estimation and Control for CPSs Under Sensor Attacks
10.1016/j.socnet.2018.12.003,The free encyclopedia that anyone can dispute: An analysis of the micro-structural dynamics of positive and negative relations in the production of contentious Wikipedia articles
10.1016/j.cose.2019.101610,Forecasting IT Security Vulnerabilities - An Empirical Analysis
10.1016/j.jsc.2018.12.004,Taxonomies of geometric problems
10.1016/j.jsc.2018.12.002,New dynamics in dynamic geometry: Dragging constructed points
10.1016/j.cam.2019.112367,Goal-oriented a posteriori error estimation for conforming and nonconforming approximations with inexact solvers
10.1016/j.ijinfomgt.2018.12.011,The role of positive and negative valence factors on the impact of bigness of data on big data analytics usage
10.1007/s11704-018-7319-2,Computer comparisons in the presence of performance variation
10.1016/j.ins.2018.12.078,An angle dominance criterion for evolutionary many-objective optimization
10.1016/j.chb.2019.08.021,The impact of learner metacognition and goal orientation on problem-solving in a serious game environment
10.1016/j.cam.2019.06.035,An unstructured mesh control volume method for two-dimensional space fractional diffusion equations with variable coefficients on convex domains
10.1016/j.fss.2018.12.020,On the relationships between the orders induced by uninorms and nullnorms
10.1016/j.fss.2019.01.004,A generalization of stability for families of aggregation operators
10.1016/j.jlamp.2019.100483,"Generalized Rewrite Theories, Coherence Completion and Symbolic Methods"
10.1016/j.ins.2019.01.030,A novel many-objective evolutionary algorithm based on transfer matrix with Kriging model
10.1016/j.ejor.2019.01.017,Decision support models in climate policy
10.1016/j.fss.2019.01.002,Distributivity of a class of ordinal sum implications over t-norms and t-conorms
10.1016/j.ins.2019.01.033,Multi-granularity three-way decisions with adjustable hesitant fuzzy linguistic multigranulation decision-theoretic rough sets over two universes
10.1016/j.future.2019.08.020,"Secure Cloud-Edge Deployments, with Trust"
10.1109/TIE.2019.2897545,Output Feedback Control of Uncertain Hydraulic Servo Systems
10.1109/TIE.2019.2896109,A Novel Statistical Time-Frequency Analysis for Rotating Machine Condition Monitoring
10.1109/TIE.2019.2898585,Disturbance Observer Design for Nonlinear Systems Represented by Input–Output Models
10.1016/j.ejor.2019.01.063,A survey of hybrid metaheuristics for the resource-constrained project scheduling problem
10.1016/j.fss.2019.01.009,Generalized CF1F2-integrals: From Choquet-like aggregation to ordered directionally monotone functions
10.1109/TIE.2019.2898593,Omnidirectional Touch Probe With Adaptive Maneuvering for 3-D Object Machining and Measurement Verification Applications
10.1109/TIE.2019.2898599,A Motion Planning and Tracking Framework for Autonomous Vehicles Based on Artificial Potential Field Elaborated Resistance Network Approach
10.1109/TIE.2019.2898575,Anti-Disturbance Control for Nonlinear Systems Based on Interval Observer
10.1016/j.fss.2019.01.017,Applying Young diagrams to 2-symmetric fuzzy measures with an application to general fuzzy measures
10.1109/TIE.2019.2893824,An Effective Subsuperpixel-Based Approach for Background Subtraction
10.1109/TIE.2019.2897506,Modeling and State-of-Charge Estimation of Supercapacitor Considering Leakage Effect
10.1109/TIE.2019.2898587,Adaptive Fuzzy Backstepping Control for Stable Nonlinear Bilateral Teleoperation Manipulators With Enhanced Transparency Performance
10.1016/j.ejor.2019.02.008,How much to tell your customer? – A survey of three perspectives on selling strategies with incompletely specified products
10.1109/TIE.2019.2898619,Intelligent Fault Identification Based on Multisource Domain Generalization Towards Actual Diagnosis Scenario
10.1109/TIE.2019.2897550,A Double-Step Unscented Kalman Filter and HMM-Based Zero-Velocity Update for Pedestrian Dead Reckoning Using MEMS Sensors
10.1016/j.csl.2019.06.009,Evaluating the state-of-the-art of End-to-End Natural Language Generation: The E2E NLG challenge
10.1109/TIE.2019.2897539,Sparse Template-Based 6-D Pose Estimation of Metal Parts Using a Monocular Camera
10.1016/j.jsc.2019.07.008,Identifying the parametric occurrence of multiple steady states for some biological networks
10.1109/TIE.2019.2896098,Self-Triggered DMPC Design for Cooperative Multiagent Systems
10.1109/TIE.2019.2896093,"Improved Accuracy, Modeling, and Stability Analysis of Power-Hardware-in-Loop Simulation With Open-Loop Inverter as Power Amplifier"
10.1007/s11704-018-8117-6,Dynamic data auditing scheme for big data storage
10.1109/TIE.2019.2903752,Disturbance Observer-Based Robust Control and Its Applications: 35th Anniversary Overview
10.1109/TIE.2019.2898576,A Novel Hierarchical Detection and Isolation Framework for Quality-Related Multiple Faults in Large-Scale Processes
10.1016/j.ejor.2019.07.019,Exact Solution of the Soft-Clustered Vehicle-Routing Problem
10.1016/j.ins.2019.02.054,Fast hypervolume approximation scheme based on a segmentation strategy
10.1016/j.geb.2019.10.001,Strategic cautiousness as an expression of robustness to ambiguity
10.1016/j.jsc.2019.02.011,Deterministic polynomial factoring over finite fields: A uniform approach via P-schemes
10.1109/TIE.2019.2899551,A Modular Wearable Finger Interface for Cutaneous and Kinesthetic Interaction: Control and Evaluation
10.1016/j.ejor.2019.02.050,Carbon-constrained firm decisions: From business strategies to operations modeling
10.1109/TIE.2019.2901565,A Correlation-Based Distributed Fault Detection Method and Its Application to a Hot Tandem Rolling Mill Process
10.1109/TIE.2019.2901647,Parallel Implementation of Model Predictive Control for Multilevel Cascaded H-Bridge STATCOM With Linear Complexity
10.1109/TIE.2019.2903772,Noncooperative Event-Triggered Control Strategy Design With Round-Robin Protocol: Applications to Load Frequency Control of Circuit Systems
10.1109/TIE.2019.2902834,Energy-Based Nonlinear Adaptive Control Design for the Quadrotor UAV System With a Suspended Payload
10.1109/TIE.2019.2902786,Profile-Guided Three-Phase Virtual Resource Management for Energy Efficiency of Data Centers
10.1007/s11704-019-7290-6,Ordinal factorization machine with hierarchical sparsity
10.1109/TIE.2019.2903755,Multirate Haptic Rendering Using Local Stiffness Matrix for Stable and Transparent Simulation Involving Interaction With Deformable Objects
10.1016/j.automatica.2019.108661,Orbital stabilization of nonlinear systems via Mexican sombrero energy shaping and pumping-and-damping injection
10.1109/TIE.2019.2903774,An Incorrect Data Detection Method for Big Data Cleaning of Machinery Condition Monitoring
10.1109/TIE.2019.2902789,Finite-Time Trajectory Tracking Control of Space Manipulator Under Actuator Saturation
10.1109/TIE.2019.2902790,Neurofuzzy-Based Plant-Wide Hierarchical Coordinating Optimization and Control: An Application to Zinc Hydrometallurgy Plant
10.1111/itor.12649,Empirical Surveys of Frontier Applications: A Meta-Review
10.1109/TIE.2019.2901661,Blind Multiple-Input Multiple-Output Image Phase Retrieval
10.1109/TIE.2019.2902783,VCA Protocol-Based Multilevel Flexible Architecture on Embedded PLCs for Visual Servo Control
10.1007/s11704-019-7266-6,AAMcon: an adaptively distributed SDN controller in data center networks
10.1109/TIE.2019.2903770,Hybrid-Model-Based Intelligent Optimization of Ironmaking Process
10.1109/TIFS.2019.2903658,Optimal Utility-Privacy Trade-Off With Total Variation Distance as a Privacy Measure
10.1016/j.cose.2019.03.017,Context-aware access control and anonymous authentication in WBAN
10.1109/TIFS.2019.2903653,A Framework for Evaluation and Analysis on Infection Countermeasures Against Fault Attacks
10.1016/j.ins.2019.03.040,An adaptive penalty-based boundary intersection method for many-objective optimization problem
10.1109/TIE.2019.2907505,Probabilistic Monitoring of Correlated Sensors for Nonlinear Processes in State Space
10.1016/j.ejor.2019.03.005,A trilevel model for best response in energy demand-side management
10.1016/j.inffus.2019.06.022,Hierarchical method for cataract grading based on retinal images using improved Haar wavelet
10.1109/TIE.2019.2907440,Bayesian Deep-Learning-Based Health Prognostics Toward Prognostics Uncertainty
10.1016/j.neunet.2019.08.025,MultiResUNet : Rethinking the U-Net architecture for multimodal biomedical image segmentation
10.1016/j.cose.2019.03.023,Comprehensive survey on privacy-preserving protocols for sealed-bid auctions
10.1016/j.ins.2019.03.061,Sequential three-way decision based on multi-granular autoencoder features
10.1109/TIE.2019.2907500,Review on Diagnosis Techniques for Intermittent Faults in Dynamic Systems
10.1109/TIE.2019.2907451,A Game-Theoretic Approach to Cross-Layer Security Decision-Making in Industrial Cyber-Physical Systems
10.1016/j.ins.2019.03.052,Sequential three-way decisions via multi-granularity
10.1109/TIE.2019.2907448,Input-to-State Stable Bilateral Teleoperation by Dynamic Interconnection and Damping Injection: Theory and Experiments
10.1109/TIE.2019.2907446,Relative Impedance-Based Internal Force Control for Bimanual Robot Teleoperation With Varying Time Delay
10.1080/10447318.2019.1597576,Evaluating Simultaneous Visual Instructions with Kindergarten Children on Touchscreen Devices
10.1109/TIE.2019.2907502,A Constant Switching Frequency Multiple-Vector-Based Model Predictive Current Control of Five-Phase PMSM With Nonsinusoidal Back EMF
10.1109/TIE.2019.2905830,Learning Representations With Local and Global Geometries Preserved for Machine Fault Diagnosis
10.1016/j.ijinfomgt.2019.04.001,Does government information release really matter in regulating contagion-evolution of negative emotion during public emergencies? From the perspective of cognitive big data analytics
10.1007/s11704-018-8254-y,Towards functional verifying a family of systemC TLMs
10.1016/j.fss.2019.04.015,Jensen type inequality for the bipolar pseudo-integrals
10.1007/s11704-018-7172-3,SLA-driven container consolidation with usage prediction for green cloud computing
10.1080/10447318.2019.1606976,Objective Design to Subjective Evaluations: Connecting Visual Complexity to Aesthetic and Usability Assessments of eHealth
10.1109/TIFS.2019.2913232,PriRadar: A Privacy-Preserving Framework for Spatial Crowdsourcing
10.1109/tvcg.2019.2934396,A Deep Generative Model for Graph Layout
10.1016/j.ijinfomgt.2019.03.010,Intelligent decision-making of online shopping behavior based on internet of things
10.1016/j.jco.2019.04.001,Fast multivariate multi-point evaluation revisited
10.1109/TIP.2019.2932572,Morphology-Based Noise Reduction: Structural Variation and Thresholding in the Bitonic Filter
10.1109/TIE.2019.2905831,Toward Accurate Quality Estimation of Screen Content Pictures With Very Sparse Reference Information
10.1080/10447318.2019.1597573,TapSix: A Palm-Worn Glove with a Low-Cost Camera Sensor that Turns a Tactile Surface into a Six-Key Chorded Keyboard by Detection Finger Taps
10.1080/10447318.2019.1606476,Interactive Immersive Public Displays as Facilitators for Deeper Participation in Urban Planning
10.1016/j.cose.2019.04.012,Exploiting non-uniform program execution time to evade record/replay forensic analysis
10.1109/TIE.2019.2912765,Sensor Glove Based on Novel Inertial Sensor Fusion Control Algorithm for 3-D Real-Time Hand Gestures Measurements
10.1016/j.jlamp.2019.04.007,Consistency in Parametric Interval Probabilistic Timed Automata
10.1109/TIE.2019.2905811,Path-Following Control of A Quadrotor UAV With A Cable-Suspended Payload Under Wind Disturbances
10.1080/10447318.2019.1597574,Cyberslacking or Smart Work: Smartphone Usage Log-Analysis Focused on App-Switching Behavior in Work and Leisure Conditions
10.1109/TIE.2019.2914572,Authoring New Haptic Textures Based on Interpolation of Real Textures in Affective Space
10.1109/TIE.2019.2914621,Stretchable e-Skin Patch for Gesture Recognition on the Back of the Hand
10.1109/TIFS.2019.2911168,Smart Traffic-Aware Primary User Emulation Attack and Its Impact on Secondary User Throughput Under Rayleigh Flat Fading Channel
10.1109/TCYB.2018.2869476,Robust Online Multilabel Learning Under Dynamic Changes in Data Distribution With Labels
10.1016/j.micpro.2019.102908,A Framework to Generate Domain-Specific Manycore Architectures from Dataflow Programs
10.1109/TIFS.2019.2918089,Secrecy Analysis of Finite-Precision Compressive Cryptosystems
10.1109/TIFS.2019.2917373,Active Defense-Based Resilient Sliding Mode Control Under Denial-of-Service Attacks
10.1109/TIFS.2019.2916673,Securing Resources in Decentralized Cloud Storage
10.1109/TIFS.2019.2918431,Beamforming for Cooperative Secure Transmission in Cognitive Two-Way Relay Networks
10.1109/TIFS.2019.2918083,Contactless Fingerprint Recognition Based on Global Minutia Topology and Loose Genetic Algorithm
10.1109/TIFS.2019.2916331,An Intrusion Detection Method for Line Current Differential Relays
10.1016/j.eswa.2019.112877,Outlier Robust Extreme Machine Learning for multi-target regression
10.1109/TIE.2019.2910044,A High Step Up SEPIC-Based Converter Based on Partly Interleaved Transformer
10.1016/j.is.2019.04.011,Self-indexed motion planning
10.1109/TIFS.2019.2918085,Detection of HEVC Double Compression With the Same Coding Parameters Based on Analysis of Intra Coding Quality Degradation Process
10.1109/TIFS.2019.2916687,Constant Modulus Secure Beamforming for Multicast Massive MIMO Wiretap Channels
10.1109/TIFS.2019.2917160,True-Color and Grayscale Video Person Re-Identification
10.1016/j.matcom.2019.05.003,Power management improvement of hybrid energy storage system based on H ∞ control
10.1109/TIFS.2019.2916406,Fingerprint Entropy and Identification Capacity Estimation Based on Pixel-Level Generative Modelling
10.1109/TIFS.2019.2916652,Biometric Face Presentation Attack Detection With Multi-Channel Convolutional Neural Network
10.1109/TIFS.2019.2917156,Lightweight and Privacy-Preserving Template Generation for Palm-Vein-Based Human Recognition
10.1109/TIFS.2019.2916633,Face Sketch Synthesis in the Wild via Deep Patch Representation-Based Probabilistic Graphical Model
10.1109/TIFS.2019.2919388,Source-Location Privacy Protection Based on Anonymity Cloud in Wireless Sensor Networks
10.1109/TIFS.2019.2919393,SLATE: A Secure Lightweight Entity Authentication Hardware Primitive
10.1080/10447318.2019.1606975,Investigating the Combination of Adaptive UIs and Adaptable UIs for Improving Usability and User Performance of Complex UIs
10.1109/TIP.2019.2918725,Fast Collective Activity Recognition Under Weak Supervision
10.1016/j.ins.2019.05.080,Three-way decision making approach to conflict analysis and resolution using probabilistic rough set over two universes
10.1109/TIFS.2019.2919950,Synergistic Generic Learning for Face Recognition From a Contaminated Single Sample per Person
10.1016/j.fss.2019.05.015,Generalized multiset theory
10.1016/j.ijinfomgt.2019.05.006,Can the development of a patient’s condition be predicted through intelligent inquiry under the e-health business mode? Sequential feature map-based disease risk prediction upon features selected from cognitive diagnosis big data
10.1016/j.inffus.2019.06.004,"Online heart monitoring systems on the internet of health things environments: A survey, a reference model and an outlook"
10.1016/j.ins.2019.05.071,Event-triggered adaptive dynamic programming for discrete-time multi-player games
10.1016/j.inffus.2019.06.012,DeepMTT: A deep learning maneuvering target-tracking algorithm based on bidirectional LSTM network
10.1109/TIFS.2019.2921232,SAI: A Suspicion Assessment-Based Inspection Algorithm to Detect Malicious Users in Smart Grid
10.1016/j.matcom.2019.05.009,Using skeleton and Hough transform variant to correct skew in historical documents
10.1016/j.csl.2019.05.005,Voice Mimicry Attacks Assisted by Automatic Speaker Verification
10.1109/LCSYS.2019.2922189,Distributed Linear Quadratic Optimal Control: Compute Locally and Act Globally
10.1016/j.csl.2019.04.009,Simple methods to overcome the limitations of general word representations in natural language processing tasks
10.1109/LCSYS.2019.2921514,Dynamic Vehicle Routing in Presence of Random Recalls
10.1109/TIFS.2019.2922237,Reverse Engineering of Printed Electronics Circuits: From Imaging to Netlist Extraction
10.1016/j.sigpro.2019.107317,Time-Frequency Localization Optimization of PR FMT: Case of an Overlapping Factor Equal to 2
10.1016/j.knosys.2019.06.013,Similarity-learning information-fusion schemes for missing data imputation
10.1109/TIFS.2019.2922241,Attention-Based Two-Stream Convolutional Networks for Face Spoofing Detection
10.1016/j.inffus.2019.06.021,A multi-sensor data fusion enabled ensemble approach for medical data from body sensor networks
10.1016/j.knosys.2019.06.012,Adaptive weighted generalized multi-granulation interval-valued decision-theoretic rough sets
10.1016/j.cam.2019.06.010,Improved stability criteria for linear systems with two additive time-varying delays via a novel Lyapunov functional
10.1109/TIFS.2019.2924130,A Dynamic Game Approach to Strategic Design of Secure and Resilient Infrastructure Network
10.1109/TIFS.2019.2922229,An Embedding Cost Learning Framework Using GAN
10.1016/j.cor.2019.104833,An improved branch-cut-and-price algorithm for the two-echelon capacitated vehicle routing problem
10.1016/j.cam.2019.06.014,A filtering technique for fast Convex Hull construction in R2
10.1016/j.inffus.2019.06.023,Gait-based identification for elderly users in wearable healthcare systems
10.1016/j.ejor.2019.06.015,Decision support for strategic energy planning: A robust optimization framework
10.1016/j.knosys.2019.06.014,Twin minimax probability extreme learning machine for pattern recognition
10.1016/j.inffus.2019.06.018,The axiomatization of asymmetric disjunction and conjunction
10.1109/LCSYS.2019.2922166,An Admissible Heuristic to Improve Convergence in Kinodynamic Planners Using Motion Primitives
10.1016/j.cam.2019.06.018,Convergence and stability of the backward Euler method for jump–diffusion SDEs with super-linearly growing diffusion and jump coefficients
10.1109/LCSYS.2019.2923078,Distributed Alternating Direction Method of Multipliers for Linearly Constrained Optimization Over a Network
10.1016/j.ejor.2019.06.040,"Dynamic multi-priority, multi-class patient scheduling with stochastic service times"
10.1016/j.inffus.2019.06.019,A snapshot research and implementation of multimodal information fusion for data-driven emotion recognition
10.1109/TIFS.2019.2923156,LPPA: Lightweight Privacy-Preserving Authentication From Efficient Multi-Key Secure Outsourced Computation for Location-Based Services in VANETs
10.1109/TIFS.2019.2923340,Blind MIMO Cooperative Jamming: Secrecy via ISI Heterogeneity Without CSIT
10.1109/TIFS.2019.2924195,Investigating the Common Authorship of Signatures by Off-Line Automatic Signature Verification Without the Use of Reference Signatures
10.1016/j.inffus.2019.06.008,A Multimodal Smartphone Sensor System for Behaviour Measurement and Health Status Inference
10.1016/j.inffus.2019.06.026,Distributed estimation over a low-cost sensor network: A Review of state-of-the-art
10.1109/TIP.2019.2921876,Learning Rich Part Hierarchies With Progressive Attention Networks for Fine-Grained Image Recognition
10.1109/LCSYS.2019.2921512,Learning Robust LQ-Controllers Using Application Oriented Exploration
10.1109/TIE.2019.2920602,Multimodal Haptic Display for Virtual Reality: A Survey
10.1109/TIFS.2019.2922262,A GLRT-Based Mechanism for Detecting Relay Misbehavior in Clustered IoT Networks
10.1109/TIP.2019.2919937,High-Resolution Encoder–Decoder Networks for Low-Contrast Medical Image Segmentation
10.1109/LCSYS.2019.2921593,Online Optimization Using Zeroth Order Oracles
10.1109/TIFS.2019.2923577,Anomaly Detection in Real-Time Multi-Threaded Processes Using Hardware Performance Counters
10.1016/j.ijinfomgt.2019.05.027,Big data analytics for financial Market volatility forecast based on support vector machine
10.1109/TIFS.2019.2922398,ADVoIP: Adversarial Detection of Encrypted and Concealed VoIP
10.1016/j.inffus.2019.06.020,Adjusting forwarder nodes and duty cycle using packet aggregation routing for body sensor networks
10.1109/TIFS.2019.2922331,Multi-Weighted Co-Occurrence Descriptor Encoding for Vein Recognition
10.1016/j.inffus.2019.06.016,Urban big data fusion based on deep learning: An overview
10.1016/j.sigpro.2019.107365,Design of Optimal Short OFDM-Type Windows
10.1109/TIFS.2019.2922353,Secrecy Performance of Terrestrial Radio Links Under Collaborative Aerial Eavesdropping
10.1016/j.cose.2019.05.014,Spartan Networks: Self-Feature-Squeezing Neural Networks for increased robustness in adversarial settings
10.1109/TIFS.2019.2922277,How to Securely Outsource Finding the Min-Cut of Undirected Edge-Weighted Graphs
10.1016/j.ins.2019.06.003,Granularity-driven sequential three-way decisions: A cost-sensitive approach to classification
10.1109/LCSYS.2019.2921651,Robust Hybrid Output Regulation for Linear Systems With Periodic Jumps: The Non-Semiclassical Case
10.1016/j.inffus.2019.06.017,Subspace segmentation-based robust multiple kernel clustering
10.1016/j.csl.2019.05.004,The impact of speaking rate on acoustic-to-articulatory inversion
10.1016/j.inffus.2019.06.024,Multi-class Arrhythmia detection from 12-lead varied-length ECG using Attention-based Time-Incremental Convolutional Neural Network
10.1016/j.cam.2019.06.034,An efficient numerical solver for anisotropic subdiffusion problems
10.1016/j.inffus.2019.06.009,Convolution–deconvolution word embedding: An end-to-end multi-prototype fusion embedding method for natural language processing
10.1016/j.ejor.2019.06.052,Operational asymptotic stochastic dominance
